idProvincia|provincia|descripcion|region|web
1|Pichincha|La provincia Pichincha nombrada así por el volcán Pichincha. Sus cantones más importantes además de Quito son Cayambe, Mejía, Pedro Moncayo, Rumiñahui, Santo Domingo, San Miguel de los Bancos y Pedro Vicente Maldonado. Al este de la provincia encontramos las montañas de los Andes, mientras la parte occidental es bastante costera. Varios ríos fluyen por la provincia al Océano Pacífico: El Guayllabamba, Blanco, Pita, Pisque y Pedro San. La ciudad de Quito, la capital de Ecuador localizada en esta provincia.|Sierra|http://www.teregalo.com.ec/img/cms/La-antugua-Guagua-Pichincha003.jpg
2|Guayas|Guayas es una provincia de Ecuador, nombrada así debido al río más importante de dicho país sudamericano, el Río Guayas. La capital del Guayas y ciudad más grande es Guayaquil, ciudad más grande en Ecuador y su puerto principal. La provincia del Guayas tiene uno de los ecosistemas más importantes del país, “El Golfo Guayaquil”.|Costa|http://guayas.es/wp-content/uploads/2011/01/guayaquil9.jpg
3|Azuay|Azuay es una provincia en el sur del Ecuador, creado el 25 de junio de 1824 , con un área de 7.700 kilómetros ². Tiene áreas protegidas como el Parque Nacional Cajas y la ciudad de Cuenca, un sitio de Herencia del Mundo proclamada por la  UNESCO, Azuay es el centro turístico más importante al sur del Ecuador. Además, Azuay es un gran lugar para hacer compras de artesanías de alta calidad y para participar en celebraciones festivas a lo largo del año.|Sierra|http://img.globalexpresstours.com/wp-content/uploads/2011/04/atractivos-ecu3.png
4|Esmeraldas|Esmeraldas es la provincia septentrional de Ecuador, en la región de costa por la frontera con Colombia. La capital es Esmeraldas. La Provincia verde, como se la conoce, es localizada sobre la costa de noroeste del país. Gran parte de su economía depende de la exportación de camarón y banano. Además de éste, se produce cacao, tabaco y café. Son importantes la pesca, la industria petroquímica y el turismo. Sus áreas salvajes y remotas son accesibles sólo por canoa, hacen a Esmeraldas un sitio ideal para organizar un safari de río.|Costa|http://www.panamericana.ec/trans_admin/trans_imagenes/FOTO%20ESMERALDAS.jpg
5|Manabí|Manabí es una provincia en el noroeste de Ecuador. Su capital es Portoviejo.En el su costa se encuentra la ciudad y puerto de Manta, el cual es el primer puerto pesquero del Ecuador. Manabí es la tercera provincia más poblada de Ecuador, conocida por sus hermosas playas, pueblos pintorescos de pesca y el Parque Nacional Machalilla, con su rica vegetación y una fauna variada.|Costa|http://manabi.es/wp-content/uploads/2011/01/manabi.jpg
6|Santa Elena|Santa Elena es una provincia de la costa de Ecuador, la más joven de las 24 actuales. Cuenta con una infraestructura vacacional y una rica variedad de atractivos turísticos arqueológicos, históricos, naturales, culturales, extensas playas y pintorescos pueblos de pescadores. |Costa|http://www.hoteltraveltour.com/photos/san-lorenzo-beach-salinas-ecuador.jpg
7|Tungurahua|Tungurahua es una provincia que se encuentra situada en la Sierra Central de Ecuador,  su clima templado, 16/20 C., seco. Su capital provincial AMBATO (200.000 hbts.). De reconocida actividad cultural, como comercial muy intensa, dada su estratégica ubicación. BANOS y sus termas, es el 2do. destino turístico - luego de Galápagos - mas visitado del País. PELILEO  de fama por sus confecciones: “JEANS” y similares; QUISAPINCHA reconocida por los precios bajos de sus excelentes confecciones de cuero. Las festividades de Carnaval y su FIESTA de fruta y flores, algo venidas a menos en los últimos años, son un importante atractivo, pero lo es sobre todo el VOLCAN TUNGURAHUA (5000 m.), actualmente en moderada espectacular actividad, bajo permanente monitoreo.|Sierra|http://fotos.lahora.com.ec/cache/6/67/679/679f/-2012072080752-679ff60526a0affc5c76566831b7d740.jpg
8|Pastaza|Pastaza es una provincia del Ecuador, situada en la Región Amazónica. Recibe su nombre del río Pastaza, que la separa al sur de la provincia de Morona Santiago. Su capital es la ciudad de Puyo. Los recursos naturales de Pastaza son el plátano, pomelos, tabaco, y el té. Hoy es uno de los lugares turísticos para ponerse en contacto con la naturaleza y vivir una aventura en el Amazonas.|Oriente|http://1.bp.blogspot.com/_GL8z_yw9Gug/TSyyMaLqwzI/AAAAAAAAGMA/sxoW2BwkXzA/s1600/razas-2.jpg
9|Imbabura|La provincia esta a 50 millas al norte de Quito por la carretera panamericana, es conocida como la provincia de los Lagos, porque en ella se encuentran los mayores lagos del país como son el lago San Pablo y las lagunas de Cuichocha y Yahuarcocha. La capital de la provincia es la ciudad de Ibarra. La Carretera panamericana es un camino conecta a las ciudades principales y la mayor parte de los pueblos en la Provincia Imbabura.|Sierra|https://lh3.googleusercontent.com/-OqPr2N1oFm0/UZT3EtqvfgI/AAAAAAAAACk/TIPG2GEmgB8/rg%252520-%252520volca%2525CC%252581n%252520imbabura.JPG?imgmax=640
10|Loja|Loja es una provincia ubicada en el extremo sur de la Sierra ecuatoriana; que limíta con las provincias de El Oro al oeste; con la provincia de Zamora Chinchipe al este; con la provincia del Azuay al norte; y al sur con el Perú. Loja es conocido por los festivales religiosos de la Virgen del Cisne que atrae a peregrinos de todo el país y del extranjero. Loja también tiene la atracción turística popular, el Valle Vilcabamba, tienen un excelente promedio de vida, los turistas se acercan buscando encontrar y tener los beneficios de esta longevidad|Sierra|http://www.andes.info.ec/sites/default/files/styles/large/public/field/image/LOJA%204%20MAV.jpg?itok=7E0Stock
