id_hotel|id_ciudad|nombre_hotel|descripcion_hotel|tarjeta_hotel|ubicacion_hotel|direccion_hotel|web_hotel|clasificacion_hotel|foto_hotel|latitud|longitud
1|1|ALAMEDA Hotel Mercure|El ALAMEDA Hotel Mercure, localizado en el corazón Quito, es el mejor lugar para hospedarse y descubrir las maravillas que le ofrece esta ciudad. La comodidad, elegancia en la decoración y el buen servicio son elementos que están presentes en cada una de las 147 habitaciones del ALAMEDA Hotel Mercure. Un descanso reparador es posible conseguir en nuestras habitaciones que están dotadas de todas las comodidades y seguridad que exige la hotelería internacional.|Aceptamos American Express / Diners / Mastercard / Visa|Dentro de la ciudad|Calle Ramón Roca E 4-122 y Av. Amazonas|www.mercurequito.com.ec|5|http://www.hotelesecuador.com.ec/imagenes/hoteles/grandes/Alameda1g.jpg|-0.204446|-78.495172
2|1|Best Western Premier Cplaza Hotel|Best Western Premier Cplaza Hotel está ubicado en un área estratégica, cerca del centro financiero, comercial y turístico. Rodeado de los principales centros comerciales y parques de la ciudad. El Hotel se encuentra afiliado a BEST WESTERN, “THE WORLD´S LARGEST HOTEL CHAIN” la cadena más grande del mundo, con alrededor de 4000 hoteles afiliados|Aceptamos American Express / Diners / Mastercard / Visa|Dentro de la ciudad|Av. De los Shyris 37-53 y Naciones Unidas|www.bwpremierquito.com|5|http://www.hotelesecuador.com.ec/imagenes/hoteles/grandes/Bwplaza1g.jpg|-0.175472|-78.481163
3|1|Hilton Colón Quito|Ubicado en el principal sector turístico de Quito llamado La Mariscal entre el Parque El Ejido y la pintoresca Avenida Amazonas. El hotel se encuentra a tan solo 10 minutos del Centro Histórico de Quito y de los principales atractivos turísticos de la cuidad, la misma que fue la primera ciudad en el mundo en ser declarada Patrimonio Cultural de la Humanidad. Te presentamos nuestros atractivos más cercanos: 10 Minutos de la Centro Histórico de Quito, Museo del banco central, Mercado Artesanal, QuitoTourBus 9h00 a 16h00, frente al hotel, Exposición de Arte en parque El Ejido, frente al hotel, Estación BiciQ para el sano disfrute de la cuidad.|Aceptamos American Express / Diners / Mastercard / Visa|Dentro de la ciudad|Av. Amazonas y Patria|www.quito.hilton.com|5|http://www.hotelesecuador.com.ec/imagenes/hoteles/grandes/Hiltonuio1g.jpg|-0.207371|-78.496579
4|1|Hotel Dann Carlton Quito|Hotel Dann Carlton Quito sobrio, elegante, clásico y acogedor Hotel en Quito. Atractivos espacios interiores, con diseño de vanguardia, hacen altamente placentera las estadías en este hotel de la línea Carlton de Hoteles Dann, distinguido por la amabilidad y la innovación en sus servicios. Nuestro Hotel en Quito cuenta con 210 habitaciones; piscina; gimnasio; cancha de squash; restaurante y bar y 13 hermosos salones para eventos corporativos y sociales con capacidad hasta de 300 asistentes.|Aceptamos American Express / Diners / Mastercard / Visa|Dentro de la ciudad|República de El Salvador N34-377 e Irlanda|www.hotelesdann.com|5|http://www.hotelesecuador.com.ec/imagenes/hoteles/grandes/Danncarlton1g.jpg|-0.183254|-78.480669
5|1|Hotel JW Marriott Quito|El JW Marriott Hotel Quito, está ubicado en la Avenida Amazonas, a pocos pasos de la nueva y exclusiva área de negocios y centros comerciales. A sólo 10 minutos del hotel, encontrará el famoso centro histórico considerado Patrimonio Cultural de la Humanidad, donde podrá apreciar las diversas manifestaciones del arte colonial guardadas celosamente en prestigiosos museos y tradicionales monasterios e iglesias.|Aceptamos American Express / Diners / Mastercard / Visa|Dentro de la ciudad|Orellana 1172 y Av. Amazonas|www.marriotthotels.com/uiodt|5|http://www.hotelesecuador.com.ec/imagenes/hoteles/grandes/Marriott1g.jpg|-0.196049|-78.488536
6|1|Hotel Quito - Compass Hotels|El Hotel está ubicado en un terreno de 33,000 m2, ubicado en la cima de una pequeña colina dentro de la ciudad, desde donde se la observa rodeada de montañas, algunas de ellas con nieves perpetuas. El Hotel ha sido remodelado en varias ocasiones y su especial arquitectura mereció un premio de la ciudad. El Hotel Quito tiene tres pisos de habitaciones y una pequeña torre de siete pisos con el famoso restaurante Techo del Mundo en la parte superior. El Hotel dispone de la zona verde y de esparcimiento más grande de los hoteles de ciudad, así como de estacionamiento para 150 vehículos y porte cochére para autobuses.|Aceptamos American Express / Diners / Mastercard / Visa|Dentro de la ciudad|Av. González Suárez N27142|www.hotelquito.com|5|http://www.hotelesecuador.com.ec/imagenes/hoteles/grandes/Quito1g.jpg|-0.202213|-78.480448
7|1|Hotel Radisson Royal Quito|Hotel Radisson Royal Quito, localizado junto al World Trade Center, ofrece una magnífica ubicación dentro de la zona empresarial, financiera y gastronómica más exclusiva de la ciudad de Quito. El hotel está situado a 45 minutos del Aeropuerto Internacional Mariscal Sucre y a 15 minutos del casco histórico declarado Patrimonio Cultural de la Humanidad por la UNESCO. Está cerca de atracciones culturales, centros comerciales y de la Plaza Foch.|Aceptamos American Express / Diners / Mastercard / Visa|Dentro de la ciudad|Cordero 444 y Av. 12 de Octubre|www.radisson.com/quitoec|5|http://www.hotelesecuador.com.ec/imagenes/hoteles/grandes/Radisson1g.jpg|-0.205371|-78.484586
8|1|Hotel Sheraton Quito|El Hotel Sheraton Quito, ubicado en el conjunto Citiplaza – Centro Ejecutivo, Financiero y Administrativo de Quito. Cerca de importantes centros comerciales y a solo 15 minutos del Centro Histórico.|Aceptamos American Express / Diners / Mastercard / Visa|Dentro de la ciudad|República del Salvador N36-212 y NNUU|www.sheraton.com|5|http://www.hotelesecuador.com.ec/imagenes/hoteles/grandes/Sheratonuio1g.jpg|-0.177568|-78.479103
9|1|Hotel Swissotel Quito|Swissôtel Quito es parte de Swissôtel Hotels & Resorts, una cadena de hoteles de lujo alrededor del mundo que combinan la reconocida hospitalidad Suiza con un diseño fresco y contemporáneo. Swissôtel Quito está ubicado en la zona residencial y comercial de la ciudad, a 15 minutos del Aeropuerto Internacional Mariscal Sucre y del Centro Histórico.|Aceptamos American Express / Diners / Mastercard / Visa|Dentro de la ciudad|Av. 12 de Octubre 1820 y Cordero|www.swissotel.com|5|http://www.hotelesecuador.com.ec/imagenes/hoteles/grandes/Swissotel1g.jpg|-0.205054|-78.485336
10|1|Hotel Patio Andaluz|El Hotel Patio Andaluz es un Monumento Nacional. Fue parte de los solares originales en la fundaciòn de Quito. Ubicado en el corazón del Centro Histórico, rodeado de iglesias, museos y monumentos. El Hotel ofrece a sus visitantes la experiencia de trasladarse al pasado, disfrutar del encanto y el confort que brinda un elegante Hotel Boutique, con grandes arcos, balcones, altillos y un aire al Quito de antaño que se respira a lo largo de los amplios pasillos, que desde la Fundación de Quito vieron pasar la historia del Ecuador.|Aceptamos American Express / Diners / Mastercard / Visa|Centro Historico|Av. García Moreno N6-52|www.hotelpatioandaluz.com|4|http://www.hotelesecuador.com.ec/imagenes/hoteles/grandes/Patioandaluz1g.jpg|-0.218620|-78.511228
